,sentiment values
0,0.52778
1,0.5
2,0.44444
3,0.86111
4,0.93056
5,1.0
6,0.47222
7,0.76389
8,0.27778
9,0.5
10,0.43056
11,0.5
12,0.22222
13,0.55556
14,0.77778
15,0.63889
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,0.48611
22,0.5
23,0.5
24,0.58333
25,0.5
26,0.51389
27,0.5
28,0.54167
29,0.66667
30,0.54167
31,0.55556
32,0.625
33,0.5
34,0.5
35,0.54167
36,0.5
37,0.5
38,0.43056
39,0.48611
40,0.5
41,0.54167
42,0.5
43,0.5
44,0.5
45,0.5
46,0.055556
47,0.5
48,0.47222
49,0.33333
50,0.5
51,0.5
52,0.48611
53,0.38889
54,0.26389
55,0.33333
56,0.22222
57,0.72222
58,0.5
59,0.5
60,0.77778
61,0.44444
62,0.77778
63,0.5
64,0.5
65,0.44444
66,0.5
67,0.33333
68,0.625
69,0.5
70,0.42708
71,0.375
72,0.41667
73,0.54167
74,0.5
75,0.73611
76,0.48611
77,0.66667
78,0.83333
79,0.66667
80,0.83333
81,0.41667
82,0.22222
83,0.86111
84,0.5
85,0.5
86,0.65278
87,0.22222
88,0.30556
89,0.47222
90,0.51389
91,0.47222
92,0.5
93,0.5
94,0.5
95,0.70833
96,0.5
97,0.44444
98,0.5
99,0.33333
100,0.45833
101,0.47222
102,0.59722
103,0.33333
104,0.93056
105,0.80556
106,0.81944
107,0.76389
108,0.5
109,0.5
110,0.43056
111,0.66667
112,0.5
113,0.58333
114,0.5
115,0.63889
116,0.72222
117,0.77778
118,0.5
119,0.47222
120,0.38889
121,0.5
122,0.5
123,0.20833
124,0.5
125,0.5
126,0.5
127,0.5
128,0.5
129,0.33333
130,0.5
131,0.5
132,0.40278
133,0.375
134,0.56944
135,0.59722
136,0.29167
137,0.41667
138,0.013889
139,0.29167
140,0.56944
141,0.44444
142,0.73611
143,0.5
144,0.58333
145,0.75
146,0.29167
147,0.5
148,0.097222
149,0.5
150,0.5
151,0.5
152,0.40278
153,0.44444
154,0.5
155,0.5
156,0.5
157,0.5
158,0.15278
159,0.61111
160,0.5
161,0.52778
162,0.5
163,0.18056
164,0.5
165,0.91667
166,0.66667
167,0.40278
168,0.5
169,0.5
170,0.55556
171,0.76389
172,0.30556
173,0.40278
174,0.45833
175,0.25
176,0.34722
177,0.5
178,0.5
179,0.59722
180,0.5
181,0.5
182,0.18056
183,0.5
184,0.5
185,0.5
186,0.36111
187,0.5
188,0.40278
189,0.875
190,0.33333
191,0.31944
192,0.44444
193,0.77778
194,0.13889
195,0.66667
196,0.5
197,0.097222
198,0.65278
199,0.69444
200,0.61111
201,0.083333
202,0.41667
203,0.5
204,0.61111
205,0.5
206,0.43056
207,0.75
208,0.63889
209,0.51389
210,0.70833
211,0.90278
212,0.5
213,0.41667
214,0.5
215,0.38889
216,0.41667
217,0.77778
218,0.33333
219,0.5
220,0.88889
221,0.36111
222,1.0
223,0.45833
224,0.48611
225,0.95833
226,0.45833
227,0.5
228,0.5
229,0.34722
230,0.44444
231,0.38889
232,0.625
233,0.52778
234,0.86111
235,0.59722
236,0.52778
237,0.51389
238,0.33333
239,0.41667
240,0.27778
241,0.43056
242,0.5
243,0.52778
244,0.43056
245,0.34722
246,0.5
247,0.80556
248,0.52778
249,0.63889
250,0.25
251,0.77778
252,0.625
253,0.61111
254,0.34722
255,0.34722
256,0.5
257,0.5
258,0.66667
259,0.75
260,0.68056
261,0.44444
262,0.61111
263,0.52778
264,0.43056
265,0.5
266,0.5
267,0.59722
268,0.58333
269,0.51389
270,0.30556
271,0.79167
272,0.5
273,0.625
274,0.5
275,0.59722
276,0.55556
277,0.51389
278,0.5
279,0.5
280,0.44444
281,0.5
282,0.47222
283,0.52778
284,0.5
285,0.68056
286,0.5
287,0.59722
288,0.69444
289,0.23611
290,0.52778
291,0.5
292,0.5
293,0.33333
294,0.5
295,0.55556
296,0.73611
297,0.625
298,0.84722
299,0.41667
300,0.59722
301,0.45833
302,0.58333
303,0.13889
304,0.43056
305,0.83333
306,0.5
307,0.45833
308,0.75
309,0.5
310,0.5
311,0.33333
312,0.5
313,0.38889
314,0.27778
315,0.5
316,0.54167
317,0.44444
318,0.65278
319,0.5
320,0.5
321,0.5
322,0.16667
323,0.58333
324,0.75
325,0.5
326,0.055556
327,0.88889
328,0.5
329,0.43056
330,0.55556
331,0.52778
332,0.66667
333,0.55556
334,0.44444
335,0.5
336,0.5
337,0.81944
338,0.61111
339,0.5
340,0.77778
341,0.59722
342,0.59722
343,0.5
344,0.51389
345,0.55556
346,0.33333
347,0.45833
348,0.5
349,0.31944
350,0.38889
351,0.44444
352,0.5
353,0.73611
354,0.95833
355,0.52778
356,0.55556
357,0.70833
358,0.5
359,0.5
360,0.5
361,0.5
362,0.69444
363,0.83333
364,0.38889
365,0.5
366,0.5
367,0.83333
368,0.18056
369,0.76389
370,0.75
371,0.33333
372,0.5
373,0.70833
374,0.52778
375,0.51389
376,0.93056
377,0.76389
378,0.5
379,0.36111
380,0.55556
381,0.5
382,0.11111
383,0.77778
384,0.81944
385,0.66667
386,0.56944
387,0.76389
388,0.81944
389,0.875
390,0.63889
391,0.16667
392,0.93056
393,0.625
394,0.61111
395,0.71875
396,0.125
397,0.83333
398,0.875
399,0.63889
400,0.70833
401,0.61111
402,0.90278
403,0.77778
404,0.77778
405,0.55556
406,0.54167
407,0.625
408,0.38889
409,0.125
410,0.70833
411,0.61111
412,0.5
413,0.61111
414,0.68056
415,0.69444
416,0.84722
417,0.5
418,0.375
419,0.41667
420,0.33333
421,0.77778
422,0.22222
423,0.22222
424,0.44444
425,0.52778
426,0.45833
427,0.22222
428,0.72222
429,0.66667
430,0.5
431,0.48611
432,0.33333
433,0.18056
434,0.84722
435,0.88889
436,0.44444
437,0.5
438,0.5
439,0.44444
440,0.625
441,0.51389
442,0.5
443,0.36111
444,0.77778
445,0.15278
446,0.44444
447,0.26389
448,0.65278
449,0.5
450,0.44444
451,0.72222
452,0.5
453,0.5
454,0.51389
455,0.66667
456,0.5
457,0.79167
458,0.5
459,0.61111
460,0.5
461,0.55556
462,0.5
463,0.5
464,0.47222
465,0.29167
466,0.44444
467,0.44444
468,0.40278
469,0.27778
470,0.30556
471,0.38889
472,0.73611
473,0.65278
474,0.34722
475,0.77778
476,0.5
477,0.11111
478,0.81944
479,0.5
480,0.44444
481,0.51389
482,0.5
483,0.19444
484,0.5
485,0.83333
486,0.38889
487,0.47222
488,0.5
489,0.5
490,0.625
491,0.40278
492,0.5
493,0.40278
494,0.31944
495,0.5
496,0.41667
497,0.13889
498,0.23611
499,0.5
500,0.5
501,0.51389
502,0.11111
503,0.70833
504,0.55556
505,0.625
506,0.5
507,0.88889
508,0.5
509,0.5
510,0.5
511,0.40278
512,0.5
513,0.5
514,0.5
515,0.58333
516,0.5
517,0.44444
518,0.5
519,0.5
520,0.5
521,0.5
522,0.5
523,0.56944
524,0.5
525,0.61111
526,0.52778
527,0.56944
528,0.5
529,0.5
530,0.5
531,0.5
532,0.52778
533,0.5
534,0.5
535,0.5
536,0.41667
537,0.44444
538,0.5
539,0.5
540,0.5
541,0.5
542,0.5
543,0.45833
544,0.5
545,0.5
546,0.58333
547,0.54167
548,0.38889
549,0.23611
550,0.33333
551,0.44444
552,0.5
553,0.77778
554,0.65278
555,0.65278
556,0.41667
557,0.30556
558,0.47222
559,0.59722
560,0.33333
561,0.44444
562,0.52778
563,0.54167
564,0.5
565,0.51389
566,0.375
567,0.72222
568,0.61111
569,0.5
570,0.5
571,0.44444
572,0.56944
573,0.58333
574,0.44444
575,0.5
576,0.5
577,0.625
578,0.55556
579,0.45833
580,0.43056
581,0.44444
582,0.30556
583,0.11111
584,0.79167
585,0.68056
586,0.18056
587,0.38889
588,0.5
589,0.54167
590,0.5
591,0.70833
592,0.80556
593,0.33333
594,0.51389
595,0.51389
596,0.38889
597,0.75
598,0.5
599,0.52778
600,0.44444
601,0.66667
602,0.54167
603,0.29167
604,0.34722
605,0.5
606,0.40278
607,0.51389
608,0.29167
609,0.41667
610,0.5
611,0.38889
612,0.36111
613,0.47222
614,0.33333
615,0.26389
616,0.5
617,0.18056
618,0.30556
619,0.29167
620,0.31944
621,0.40278
622,0.52778
623,0.55556
624,0.5
625,0.5
626,0.59722
627,0.5
628,0.61111
629,0.80556
630,0.48611
631,0.51389
632,0.69444
633,0.66667
634,0.45833
635,0.27778
636,0.43056
637,0.38542
638,0.43056
639,0.27778
640,0.055556
641,0.19444
642,0.41667
643,0.51389
644,0.44444
645,0.66667
646,0.76389
647,0.75
648,0.5
649,0.45833
650,0.61111
651,0.5
652,0.5
653,0.5
654,0.75
655,0.68056
656,0.5
657,0.54167
658,0.59722
659,0.19444
660,0.125
661,0.11111
662,0.33333
663,0.56944
664,0.72222
665,0.76389
666,0.23611
667,0.18056
668,0.22222
669,0.90278
670,0.94444
671,0.5
672,0.38889
673,0.16667
674,0.027778
675,0.56944
676,0.43056
677,0.5
678,0.66667
679,0.80556
680,0.59722
681,0.22222
682,0.40278
683,0.11111
684,0.16667
685,0.48611
686,0.36111
687,0.75
688,0.72222
689,0.80556
690,0.63889
691,0.22222
692,0.375
693,0.61111
694,0.51389
695,0.43056
696,0.44444
697,0.5
698,0.33333
699,0.34722
700,0.55556
701,0.55556
702,0.55556
703,0.63889
704,0.5
705,0.94444
706,0.875
707,0.625
708,0.63889
709,0.56944
710,0.625
711,0.5
712,0.20833
713,0.16667
714,0.61111
715,0.875
716,0.68056
717,0.125
718,0.625
719,0.56944
720,0.58333
721,0.69444
722,0.47222
723,0.55556
724,0.72222
725,0.68056
726,0.79167
727,0.76389
728,0.5
729,0.55556
730,0.55556
731,0.55556
732,0.5
733,0.55556
734,0.48611
735,0.30556
736,0.26389
737,0.52778
738,0.26389
739,0.45833
740,0.22222
741,0.47222
742,0.61111
743,0.38889
744,0.51389
745,0.25
746,0.23611
747,0.29167
748,0.61111
749,0.23611
750,0.23611
751,0.79167
752,0.5
753,0.90278
754,0.72222
755,0.18056
756,0.31944
757,0.23611
758,0.55556
759,0.5
760,0.83333
761,0.86111
762,0.58333
763,0.51389
764,0.55556
765,0.44444
766,0.44444
767,0.29167
768,0.5
769,0.54167
770,0.51389
771,0.45833
772,0.70833
773,0.61111
774,0.69444
775,0.097222
776,0.25
777,0.18056
778,0.23611
779,0.5
780,0.16667
781,0.47222
782,0.77778
783,0.80556
784,0.77778
785,0.56944
786,0.72222
787,0.5
788,0.69444
789,0.63889
790,0.56944
791,0.61111
792,0.66667
793,0.33333
794,0.41667
795,0.43056
796,0.56944
797,0.5
798,0.69444
799,0.58333
800,0.5
801,0.5
802,0.91667
803,0.84722
804,0.94444
805,0.84722
806,0.83333
807,0.83333
808,0.80556
809,0.84722
810,0.72222
811,0.31944
812,0.47222
813,0.48611
814,0.5
815,0.47222
816,0.59722
817,0.5
818,0.083333
819,0.055556
820,0.59722
821,0.56944
822,0.40278
823,0.70833
824,0.55556
825,0.55556
826,0.61111
827,0.81944
828,0.44444
829,0.20833
830,0.625
831,0.58333
832,0.47222
833,0.5
834,0.55556
835,0.43056
836,0.63889
837,0.59722
838,0.27778
839,0.54167
840,0.5
841,0.43056
842,0.5
843,0.29167
844,0.375
845,0.47222
846,0.5
847,0.84722
848,0.80556
849,0.63889
850,0.61111
851,0.61111
852,0.70833
853,0.65278
854,0.72222
855,0.59722
856,0.44444
857,0.27778
858,0.58333
859,0.63889
860,0.43056
861,0.63889
862,0.18056
863,0.19444
864,0.31944
865,0.51389
866,0.013889
867,0.25
868,0.5
869,0.5
870,0.5
871,0.44444
872,0.5
873,0.45833
874,0.5
875,0.5
876,0.25
877,0.45833
878,0.34722
879,0.22222
880,0.22222
881,0.33333
882,0.47222
883,0.625
884,0.5
885,0.25
886,0.54167
887,0.29167
888,0.34722
889,0.40278
890,0.083333
891,0.19444
892,0.88889
893,0.22222
894,0.19444
895,0.81944
896,0.59722
897,0.77778
898,0.55556
899,0.63889
900,0.83333
901,0.81944
902,0.65278
903,0.72222
904,0.5
905,0.38889
906,0.36111
907,0.27778
908,0.22222
909,0.33333
910,0.27778
911,0.5
912,0.61111
913,0.5
914,0.47222
915,0.41667
916,0.22222
917,0.375
918,0.19444
919,0.5
920,0.22222
921,0.45833
922,0.18056
923,0.38889
924,0.56944
925,0.34722
926,0.52778
927,0.5
928,0.48611
929,0.36111
930,0.36111
931,0.31944
932,0.40278
933,0.11111
934,0.30556
935,0.23611
936,0.34722
937,0.013889
938,0.013889
939,0.055556
940,0.23611
941,0.125
942,0.5
943,0.5
944,0.52778
945,0.75
946,0.70833
947,0.5
948,0.625
949,0.22222
950,0.5
951,0.5
952,0.15278
953,0.23611
954,0.76389
955,0.5
956,0.30556
957,0.55556
958,0.5
959,0.55556
960,0.5
961,0.58333
962,0.5
963,0.56944
964,0.5
965,0.5
966,0.27778
967,0.33333
968,0.5
969,0.5
970,0.5
971,0.5
972,0.48611
973,0.36111
974,0.5
975,0.5
976,0.5
977,0.5
978,0.55556
979,0.51389
980,0.5
981,0.47222
982,0.5
983,0.66667
984,0.5
985,0.56944
986,0.86111
987,0.5
